STAT_TYPE, REGION, CATEGORY, TOTAL_TYPE, TOTAL
STAT, PageAlloc, MeminfoPre, TSUM, 172
STAT, PageAlloc, MeminfoPost, TSUM, 172
STAT, Initialize, Iterations, TSUM, 393092
STAT, Initialize, Time, TMAX, 8
STAT, edgeIteratingAlgo, Iterations, TSUM, 9986642
STAT, edgeIteratingAlgo, Time, TMAX, 5472
STAT, edgeIteratorAlgo, Time, TMAX, 5472
STAT, (NULL), Time, TMAX, 5481
STAT, (NULL), GraphReadingTime, TMAX, 13
PARAM, (NULL), CommandLine, SINGLE, /mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/Galois/build/lonestar/triangles/triangles -algo=edgeiterator -t=16 -statFile=stats/kron/kron-bfs-stat-tc.txt ../datasets/kron/kron-bfs.gr
PARAM, (NULL), Threads, SINGLE, 12
PARAM, (NULL), Hostname, SINGLE, hennessy
