STAT_TYPE, REGION, CATEGORY, TOTAL_TYPE, TOTAL
STAT, PageAlloc, MeminfoPre, TSUM, 580
STAT, PageAlloc, MeminfoPost, TSUM, 580
STAT, Initialize, Iterations, TSUM, 4847571
STAT, Initialize, Time, TMAX, 28
STAT, edgeIteratingAlgo, Iterations, TSUM, 32562091
STAT, edgeIteratingAlgo, Time, TMAX, 1297
STAT, edgeIteratorAlgo, Time, TMAX, 1297
STAT, (NULL), Time, TMAX, 1326
STAT, (NULL), GraphReadingTime, TMAX, 58
PARAM, (NULL), CommandLine, SINGLE, /mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/Galois/build/lonestar/triangles/triangles -algo=edgeiterator -t=16 -statFile=stats/soc_livejournal/soc-livejournal-default-stat-tc.txt ../datasets/soc-livejournal/soc-LiveJournal1-default.gr
PARAM, (NULL), Threads, SINGLE, 12
PARAM, (NULL), Hostname, SINGLE, hennessy
