Real,User,Sys,Algorithm,Iteration
2.26,7.79,0.41,NodeIterator,1
0.31,1.26,0.19,EdgeIterator,1
0.29,1.34,0.22,NodeIterator,2
0.29,1.32,0.19,EdgeIterator,2
0.31,1.34,0.22,NodeIterator,3
0.29,1.28,0.20,EdgeIterator,3
0.30,1.39,0.19,NodeIterator,4
0.30,1.32,0.19,EdgeIterator,4
0.30,1.35,0.19,NodeIterator,5
0.29,1.26,0.21,EdgeIterator,5
0.31,1.32,0.23,NodeIterator,6
0.30,1.22,0.24,EdgeIterator,6
0.30,1.31,0.22,NodeIterator,7
0.29,1.23,0.22,EdgeIterator,7
0.31,1.40,0.23,NodeIterator,8
0.30,1.25,0.21,EdgeIterator,8
0.30,1.35,0.22,NodeIterator,9
0.30,1.29,0.18,EdgeIterator,9
0.29,1.35,0.23,NodeIterator,10
0.29,1.29,0.19,EdgeIterator,10
0.30,1.39,0.19,NodeIterator,11
0.29,1.23,0.23,EdgeIterator,11
0.31,1.34,0.24,NodeIterator,12
0.30,1.27,0.23,EdgeIterator,12
0.30,1.37,0.22,NodeIterator,13
0.31,1.32,0.20,EdgeIterator,13
0.30,1.32,0.22,NodeIterator,14
0.30,1.30,0.21,EdgeIterator,14
0.30,1.40,0.20,NodeIterator,15
0.29,1.29,0.20,EdgeIterator,15
0.30,1.31,0.25,NodeIterator,16
0.29,1.31,0.21,EdgeIterator,16
0.30,1.37,0.20,NodeIterator,17
0.30,1.23,0.22,EdgeIterator,17
0.31,1.43,0.19,NodeIterator,18
0.29,1.29,0.22,EdgeIterator,18
0.30,1.34,0.23,NodeIterator,19
0.30,1.33,0.18,EdgeIterator,19
0.30,1.36,0.19,NodeIterator,20
0.29,1.28,0.21,EdgeIterator,20
0.31,1.38,0.23,NodeIterator,21
0.30,1.31,0.20,EdgeIterator,21
0.30,1.34,0.22,NodeIterator,22
0.29,1.28,0.20,EdgeIterator,22
0.30,1.36,0.21,NodeIterator,23
0.30,1.27,0.22,EdgeIterator,23
0.31,1.39,0.20,NodeIterator,24
0.30,1.28,0.22,EdgeIterator,24
0.29,1.36,0.21,NodeIterator,25
0.30,1.30,0.19,EdgeIterator,25
